Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,324.9750061035156,313.0,314.92498779296875,321.6000061035156,19847448.0,265.9317626953125
2009-01-05,344.25,323.7749938964844,324.75,341.4620056152344,22027876.0,282.3557434082031
2009-01-06,347.5,332.81201171875,340.0,342.7250061035156,24118400.0,283.4001159667969
2009-01-07,346.5,293.75,342.25,300.18798828125,34002200.0,248.2261505126953
2009-01-09,302.5,273.4129943847656,302.5,288.31201171875,37952520.0,238.4058380126953
2009-01-12,286.25,271.25,284.92498779296875,274.4750061035156,29458336.0,226.96401977539062
2009-01-13,286.5,266.25,273.67498779296875,269.38800048828125,26320964.0,222.75755310058594
2009-01-14,304.5,272.7749938964844,272.7749938964844,294.93798828125,26201564.0,243.88490295410156
2009-01-15,289.98699951171875,276.875,285.45001220703125,285.5870056152344,25094924.0,236.15255737304688
2009-01-16,307.75,284.9750061035156,287.75,304.3370056152344,26647296.0,251.65699768066406
2009-01-19,312.48699951171875,302.0,306.1499938964844,307.4750061035156,16983120.0,254.25177001953125
2009-01-20,304.20001220703125,292.0,304.20001220703125,295.9129943847656,18588400.0,244.6911163330078
2009-01-21,295.7250061035156,277.5,290.0,279.9620056152344,19869540.0,231.50123596191406
2009-01-22,288.7120056152344,276.7749938964844,287.4750061035156,284.07501220703125,27980396.0,234.9022979736328
2009-01-23,333.75,280.0,299.5,289.0379943847656,32434432.0,239.0061798095703
2009-01-27,308.36199951171875,292.5,296.5,306.48699951171875,17933540.0,253.43475341796875
2009-01-28,322.5,306.6000061035156,312.0,318.5,18371436.0,263.36834716796875
2009-01-29,323.75,310.31201171875,321.25,317.5249938964844,25373372.0,262.5621337890625
2009-01-30,332.70001220703125,309.5,309.5,330.8999938964844,22237208.0,273.6219787597656
2009-02-02,338.20001220703125,318.38800048828125,322.5,320.0,21461864.0,264.6087646484375
2009-02-03,333.67498779296875,318.26300048828125,322.5,326.54998779296875,27643564.0,270.02490234375
2009-02-04,334.375,323.7749938964844,328.75,326.875,15866960.0,270.2936706542969
2009-02-05,332.25,317.7879943847656,332.25,322.20001220703125,16426340.0,266.4279479980469
2009-02-06,337.5,323.8999938964844,325.0,336.2120056152344,17364252.0,278.01446533203125
2009-02-09,349.75,335.25,338.75,347.42498779296875,17751108.0,287.28656005859375
2009-02-10,353.5249938964844,343.0870056152344,347.2250061035156,350.48699951171875,27187004.0,289.81854248046875
2009-02-11,347.32501220703125,340.25,341.25,345.31201171875,16821148.0,285.53924560546875
2009-02-12,344.67498779296875,336.32501220703125,344.67498779296875,337.88800048828125,12578160.0,279.400390625
2009-02-13,351.0,340.25,341.75,348.1000061035156,11618608.0,287.8446350097656
2009-02-16,349.26300048828125,327.7749938964844,346.11199951171875,330.04998779296875,18376752.0,272.9190673828125
2009-02-17,326.75,314.54998779296875,325.2879943847656,316.82501220703125,15315008.0,261.98333740234375
2009-02-18,329.45001220703125,310.0,316.75,323.7879943847656,18296752.0,267.7410583496094
2009-02-19,327.25,320.5249938964844,322.5,323.43798828125,12017532.0,267.45159912109375
